team,offense,defense,tempo,luck,margin,schedule_margin,opponent_offense,opponent_defense,non_conference,conf,year
New Mexico St,109.3,98.1,69.4,-.041,11.22,-0.88,103.4,104.3,-0.87,WAC,2012
San Diego St,107.0,95.8,65.8,.059,11.16,3.33,104.8,101.5,-3.76,MWC,2012
St Joseph's PA,110.5,99.6,65.0,-.052,10.92,4.93,105.9,101.0,3.13,A10,2012
Southern Miss,111.2,100.4,63.8,.041,10.83,4.41,104.7,100.3,2.32,CUSA,2012
Dayton,113.3,102.5,64.2,-.016,10.78,4.01,104.6,100.5,-0.09,A10,2012
Akron,108.3,97.7,66.4,-.021,10.66,2.81,104.6,101.8,3.86,MAC,2012
Davidson,112.0,101.4,67.4,.008,10.65,-3.00,101.5,104.5,8.78,SC,2012
Northwestern,114.8,104.3,62.5,.049,10.53,8.54,107.5,98.9,-1.79,B10,2012
Denver,110.9,100.5,60.2,-.072,10.41,-2.64,101.6,104.2,-0.32,SB,2012
Massachusetts,106.2,96.3,73.2,.055,9.83,3.72,105.0,101.2,-4.83,A10,2012
Northern Iowa,106.9,97.3,61.6,.002,9.57,5.57,106.7,101.1,4.18,MVC,2012
Illinois,104.3,94.8,64.2,-.005,9.49,8.41,109.0,100.6,-2.20,B10,2012
Mississippi St,111.7,102.4,63.9,.007,9.35,3.39,104.3,101.0,-4.08,SEC,2012
Marshall,109.4,100.1,65.2,.026,9.32,5.94,106.0,100.1,4.25,CUSA,2012
Lehigh,108.6,99.3,67.6,-.026,9.29,-5.57,100.3,105.8,-5.17,Pat,2012
Cleveland St,105.5,96.3,63.8,.008,9.22,1.53,102.9,101.3,4.66,Horz,2012
Colorado,104.8,95.9,65.1,.081,8.89,5.35,105.7,100.4,0.06,P12,2012
Clemson,105.5,96.8,63.1,-.107,8.65,1.66,102.8,101.1,-5.99,ACC,2012
Virginia Tech,106.8,98.1,61.9,-.092,8.64,5.62,105.3,99.7,0.09,ACC,2012
Georgia St,102.1,93.5,63.9,-.075,8.57,-3.85,101.1,104.9,-8.68,CAA,2012
Villanova,109.2,100.7,67.4,-.095,8.50,8.58,106.9,98.3,0.93,BE,2012
Missouri St,105.3,97.1,62.4,-.093,8.23,4.70,105.9,101.2,4.09,MVC,2012
Oregon St,111.0,102.7,70.0,-.059,8.22,1.98,103.8,101.9,-8.02,P12,2012
Colorado St,111.9,103.7,63.6,.075,8.17,4.39,104.7,100.3,0.85,MWC,2012
Bucknell,107.4,99.3,63.2,.007,8.11,-3.12,101.5,104.6,1.59,Pat,2012
Wyoming,101.7,93.7,60.0,-.030,8.05,0.17,103.6,103.4,-9.10,MWC,2012
Oral Roberts,111.8,103.7,63.2,.063,8.04,-2.41,102.7,105.1,0.56,Sum,2012
Buffalo,107.3,99.4,67.3,-.000,7.92,2.00,104.3,102.3,2.92,MAC,2012
Illinois St,109.3,101.5,63.4,.004,7.79,2.54,104.4,101.9,-7.47,MVC,2012
Tulsa,106.3,98.5,63.8,-.074,7.75,2.32,103.7,101.4,1.71,CUSA,2012
Mississippi,104.7,96.9,65.4,.066,7.75,6.08,105.7,99.6,0.73,SEC,2012
Mercer,105.1,97.4,64.2,.020,7.71,-0.87,103.0,103.8,0.80,ASun,2012
Oklahoma St,107.1,99.5,65.5,-.016,7.62,9.87,107.8,97.9,3.38,B12,2012
LSU,101.8,94.5,65.1,.021,7.34,5.64,105.9,100.2,-1.87,SEC,2012
Washington St,109.7,102.4,62.8,-.056,7.33,4.25,105.4,101.2,-5.52,P12,2012
Princeton,107.8,100.5,62.5,-.018,7.26,0.94,102.9,101.9,3.09,Ivy,2012
Iowa,111.6,104.4,67.3,.011,7.15,7.01,107.4,100.4,-9.20,B10,2012
Wagner,104.8,97.6,67.1,.014,7.14,-5.70,100.4,106.1,1.11,NEC,2012
UCF,106.5,99.4,63.1,.096,7.11,3.06,103.9,100.9,-4.44,CUSA,2012
Montana,103.7,96.9,64.2,.064,6.76,-5.30,102.5,107.8,-0.72,BSky,2012
Oklahoma,105.4,98.8,66.6,-.017,6.64,6.61,107.3,100.7,-6.37,B12,2012
Nevada,105.9,99.4,64.2,.126,6.52,-2.09,102.6,104.6,-5.97,WAC,2012
Santa Barbara,111.1,104.7,63.6,-.009,6.37,-1.45,102.8,104.3,6.04,BW,2012
Lamar,107.6,101.3,66.0,-.028,6.33,-3.98,99.4,103.4,5.21,Slnd,2012
Richmond,109.3,103.2,62.8,-.047,6.13,3.84,104.9,101.1,0.41,A10,2012
George Mason,104.2,98.1,67.1,.048,6.08,-2.20,101.0,103.2,-3.96,CAA,2012
Old Dominion,102.0,95.9,64.5,-.006,6.08,-0.01,102.7,102.7,4.47,CAA,2012
Georgia,104.7,98.7,61.5,.033,5.97,7.99,106.9,99.0,0.99,SEC,2012
Fairfield,100.6,95.0,64.0,-.066,5.66,-1.42,102.6,104.0,3.69,MAAC,2012
UNC Asheville,110.4,104.9,68.2,-.001,5.50,-4.12,101.8,105.9,7.91,BSth,2012
Detroit,108.1,102.6,67.1,-.008,5.48,0.35,102.2,101.8,1.14,Horz,2012
Butler,99.7,94.4,64.1,.020,5.31,1.42,103.1,101.6,6.43,Horz,2012
Kent,105.5,100.2,67.1,.005,5.29,0.01,102.2,102.2,-2.78,MAC,2012
Vermont,105.3,100.1,61.9,-.024,5.17,-5.44,99.1,104.6,-1.55,AE,2012
Evansville,110.7,105.6,66.4,-.023,5.17,3.19,104.6,101.4,-3.35,MVC,2012
Rutgers,102.0,96.9,65.3,-.048,5.14,5.92,106.2,100.3,-5.35,BE,2012
UT Arlington,105.4,100.3,70.8,.021,5.10,-5.69,99.4,105.1,-1.80,Slnd,2012
Texas A&M,101.4,96.4,61.4,-.050,5.07,6.92,106.4,99.4,-10.59,B12,2012
Robert Morris,105.9,100.9,63.0,.040,4.96,-2.99,101.2,104.2,3.95,NEC,2012
Duquesne,107.2,102.9,67.1,.026,4.29,5.15,105.8,100.6,0.59,A10,2012
Utah St,107.9,103.7,61.9,-.067,4.24,-2.04,102.8,104.8,-2.10,WAC,2012
Providence,110.1,106.0,65.2,-.012,4.09,5.33,104.7,99.3,-10.96,BE,2012
Arkansas,106.4,102.4,69.5,.031,4.07,2.35,103.2,100.8,-7.09,SEC,2012
Manhattan,103.3,99.4,67.0,-.022,3.91,-4.40,100.6,105.0,-5.06,MAAC,2012
Loyola MD,103.9,100.0,63.6,.114,3.91,-2.70,101.8,104.5,-0.69,MAAC,2012
UAB,101.2,97.3,61.1,.020,3.89,4.69,105.8,101.1,3.25,CUSA,2012
Weber St,110.2,106.5,65.5,.110,3.77,-5.30,101.1,106.4,-0.32,BSky,2012
Bowling Green,103.8,100.0,63.9,-.065,3.75,1.16,103.6,102.4,1.66,MAC,2012
Penn St,102.9,99.5,63.1,-.024,3.38,8.23,108.5,100.3,-3.35,B10,2012
Maryland,106.7,103.4,66.2,.092,3.37,5.05,105.3,100.3,-3.31,ACC,2012
East Carolina,104.6,101.4,65.1,-.093,3.23,2.38,103.6,101.2,-4.57,CUSA,2012
SC Upstate,103.1,99.9,67.0,.032,3.22,-0.63,103.6,104.2,1.07,ASun,2012
Indiana St,102.0,98.9,64.0,.060,3.09,3.16,104.8,101.6,-1.86,MVC,2012
Valparaiso,106.0,102.9,63.9,.101,3.07,0.67,102.7,102.1,2.25,Horz,2012
Penn,104.0,101.1,62.0,.058,2.88,-0.38,102.9,103.2,1.73,Ivy,2012
Loy Marymount,102.1,99.4,66.1,.057,2.73,0.26,104.2,104.0,-0.84,WCC,2012
Drake,101.1,98.5,65.8,.036,2.63,3.10,104.7,101.6,-0.51,MVC,2012
Stony Brook,103.5,100.9,61.4,.020,2.60,-7.28,98.9,106.2,-2.21,AE,2012
UTEP,102.0,99.4,61.4,-.031,2.55,2.19,103.4,101.3,0.16,CUSA,2012
WI Milwaukee,100.6,98.3,65.2,.033,2.30,0.23,102.4,102.1,2.98,Horz,2012
San Francisco,109.0,106.7,67.9,-.001,2.28,-1.44,102.3,103.8,-5.75,WCC,2012
ETSU,101.8,99.6,64.1,-.017,2.21,-0.73,104.0,104.7,0.10,ASun,2012
Auburn,99.6,97.5,64.0,.027,2.10,3.58,104.7,101.1,-6.74,SEC,2012
Rice,100.9,99.0,67.9,-.007,1.85,0.91,102.9,101.9,-2.72,CUSA,2012
Oakland,114.4,112.7,69.7,.021,1.72,-0.16,103.8,104.0,5.28,Sum,2012
DePaul,108.5,106.9,71.4,-.042,1.69,4.72,104.2,99.5,-9.74,BE,2012
Charlotte,100.0,98.4,67.6,.003,1.65,4.25,105.8,101.6,-0.15,A10,2012
Nebraska,103.4,101.7,61.5,.034,1.62,8.58,108.4,99.8,-4.92,B10,2012
Quinnipiac,104.0,102.5,65.6,-.071,1.44,-4.68,100.5,105.2,-2.22,NEC,2012
Boise St,105.3,103.9,64.3,-.081,1.38,2.77,104.1,101.3,-4.39,MWC,2012
SF Austin,97.3,96.0,58.6,-.059,1.29,-6.16,98.2,104.4,-3.79,Slnd,2012
Idaho,106.6,105.3,62.5,.012,1.29,-0.77,103.7,104.5,-1.90,WAC,2012
St John's,103.9,102.7,66.2,.033,1.20,7.19,106.7,99.5,-2.66,BE,2012
Yale,101.2,100.1,66.3,.099,1.09,-1.39,101.6,103.0,-1.53,Ivy,2012
CS Fullerton,109.1,108.2,68.3,.006,0.90,-6.60,100.0,106.6,-8.72,BW,2012
Col Charleston,102.4,101.6,66.4,.030,0.84,-3.23,101.2,104.5,4.05,SC,2012
TCU,106.3,105.6,67.9,.085,0.76,3.00,103.7,100.7,-2.58,MWC,2012
Long Island,108.7,107.9,73.4,.117,0.75,-5.25,99.8,105.0,-2.27,NEC,2012
N Dakota St,106.0,105.4,66.0,-.055,0.69,-3.33,102.6,105.9,-5.53,Sum,2012
South Carolina,103.5,102.9,61.7,-.069,0.63,5.90,105.5,99.6,-5.23,SEC,2012
Youngstown St,106.3,105.8,64.4,-.023,0.59,-0.23,101.9,102.1,0.95,Horz,2012
Cal Poly SLO,104.4,103.9,59.1,-.070,0.49,-4.14,101.6,105.7,-2.58,BW,2012
North Texas,100.7,100.3,67.8,-.041,0.41,-2.66,100.4,103.0,-1.36,SB,2012
Tennessee St,101.1,101.0,65.3,.087,0.12,-1.70,102.3,104.0,2.81,OVC,2012
Delaware,103.4,103.4,67.2,.039,-0.02,-1.62,100.6,102.2,-2.28,CAA,2012
W Michigan,105.7,105.8,65.1,-.071,-0.05,0.93,103.7,102.7,8.16,MAC,2012
G Washington,101.8,102.5,62.6,-.038,-0.68,5.43,105.7,100.3,2.69,A10,2012
Charleston So,104.5,105.2,69.5,.008,-0.71,-5.15,101.6,106.8,4.05,BSth,2012
UT San Antonio,104.0,104.9,66.4,-.051,-0.81,-4.09,99.9,104.0,0.72,Slnd,2012
Georgia Tech,98.5,99.3,62.2,-.073,-0.86,3.65,104.1,100.4,-0.81,ACC,2012
WI Green Bay,101.3,102.2,66.1,.068,-0.88,2.44,103.0,100.5,8.87,Horz,2012
FL Gulf Coast,105.2,106.1,66.5,-.028,-0.88,-0.50,103.4,103.9,-2.22,ASun,2012
American Univ,101.3,102.2,61.7,.056,-0.91,-5.45,100.1,105.5,-4.69,Pat,2012
W Illinois,97.1,98.4,57.8,.024,-1.30,-1.72,105.3,107.0,-4.87,Sum,2012
Fresno St,101.4,102.8,61.7,-.090,-1.41,0.63,104.2,103.6,0.24,WAC,2012
Ark Little Rock,98.3,99.9,63.7,.024,-1.56,-0.56,102.2,102.7,3.17,SB,2012
Boston Univ,100.0,101.6,63.8,-.014,-1.60,-3.10,100.7,103.8,5.09,AE,2012
Savannah St,95.2,96.9,62.8,.065,-1.73,-7.51,98.1,105.6,0.09,MEAC,2012
Norfolk St,100.9,102.7,66.6,.189,-1.82,-6.31,100.3,106.6,1.39,MEAC,2012
Columbia,101.1,103.0,62.4,-.048,-1.85,-2.90,100.8,103.7,-4.00,Ivy,2012
Coastal Car,102.8,104.7,63.8,-.006,-1.91,-4.95,101.7,106.7,-0.77,BSth,2012
North Florida,103.1,105.1,65.3,.065,-1.93,1.09,103.4,102.3,6.75,ASun,2012
Tennessee Tech,103.4,105.4,67.8,.067,-2.07,-2.21,102.6,104.8,-0.00,OVC,2012
Air Force,100.0,102.2,61.1,-.017,-2.20,1.28,102.5,101.2,-11.06,MWC,2012
Northeastern,100.5,102.7,63.6,.038,-2.22,1.17,102.4,101.2,5.08,CAA,2012
Houston,105.6,107.9,66.1,-.001,-2.31,-1.35,101.6,103.0,-8.74,CUSA,2012
Miami OH,102.4,105.1,59.5,-.038,-2.61,3.27,105.1,101.8,5.56,MAC,2012
Louisiana Tech,101.1,103.7,67.2,.053,-2.62,-1.38,102.4,103.7,-5.21,WAC,2012
WKU,97.8,100.5,67.9,.083,-2.67,-0.00,102.3,102.3,2.63,SB,2012
Arkansas St,102.6,105.3,62.0,-.024,-2.68,0.06,102.3,102.2,3.40,SB,2012
Ball St,100.1,102.8,62.3,-.054,-2.69,-4.63,100.1,104.7,-7.52,MAC,2012
Tulane,97.9,100.6,64.7,-.071,-2.70,-2.91,100.5,103.4,-14.36,CUSA,2012
Wofford,101.9,104.7,60.9,.048,-2.75,-4.25,101.0,105.2,-1.18,SC,2012
Morehead St,100.5,103.2,59.8,.027,-2.75,-2.41,102.1,104.5,3.82,OVC,2012
Albany NY,108.8,111.6,64.7,-.019,-2.80,-8.11,97.4,105.5,-5.75,AE,2012
SMU,98.0,100.9,59.3,-.030,-2.92,0.88,103.5,102.6,-3.00,CUSA,2012
FL Atlantic,101.5,104.4,63.4,-.048,-2.99,1.74,103.3,101.6,8.65,SB,2012
IUPUI,107.9,110.9,65.3,-.028,-3.04,-1.59,102.8,104.4,-1.20,Sum,2012
Jacksonville St,98.6,101.8,63.3,-.084,-3.24,-4.72,100.9,105.6,-1.53,OVC,2012
ULL,94.5,97.8,68.7,.018,-3.27,-2.19,102.4,104.6,-1.21,SB,2012
Portland St,108.0,111.4,66.1,-.004,-3.36,-4.45,101.9,106.4,1.72,BSky,2012
Toledo,103.4,106.8,65.7,-.014,-3.41,-4.66,99.8,104.5,-6.78,MAC,2012
Cornell,98.1,101.6,67.3,.029,-3.43,1.01,102.9,101.9,3.66,Ivy,2012
E Washington,101.4,104.9,67.6,-.047,-3.49,-3.05,103.3,106.4,5.29,BSky,2012
Austin Peay,102.5,106.0,67.5,-.030,-3.50,0.84,104.2,103.4,9.54,OVC,2012
South Alabama,101.1,104.6,64.8,.104,-3.57,-2.69,101.2,103.9,-3.25,SB,2012
Wake Forest,102.2,106.1,66.0,.058,-3.85,2.88,104.1,101.3,-3.99,ACC,2012
Lipscomb,101.0,104.9,68.7,.016,-3.89,0.34,103.9,103.6,2.25,ASun,2012
Hawaii,103.3,107.3,69.6,.035,-4.03,-1.75,102.4,104.2,-6.13,WAC,2012
Wright St,95.5,99.6,62.1,-.001,-4.06,0.90,102.8,101.9,1.72,Horz,2012
NC Central,97.7,101.8,65.5,-.063,-4.09,-6.31,99.0,105.3,7.35,MEAC,2012
Central Conn,99.7,103.8,67.0,-.052,-4.11,-4.80,100.4,105.2,-1.81,NEC,2012
St Francis NY,97.5,101.6,68.1,-.027,-4.11,-6.29,100.1,106.3,-5.63,NEC,2012
San Diego,102.0,106.3,65.3,.004,-4.29,0.24,102.9,102.7,-2.32,WCC,2012
Hofstra,99.0,103.5,65.4,-.121,-4.48,-1.10,101.9,103.0,-3.91,CAA,2012
USC,91.2,95.9,59.8,-.099,-4.69,6.17,105.9,99.7,2.16,P12,2012
McNeese St,100.9,105.7,64.2,.043,-4.75,-2.44,100.8,103.3,5.64,Slnd,2012
S Illinois,99.2,104.0,64.8,-.050,-4.79,4.14,104.9,100.7,-0.27,MVC,2012
Rider,104.3,109.3,67.4,-.002,-4.96,-1.34,102.4,103.8,2.06,MAAC,2012
Holy Cross,99.0,104.0,65.3,.055,-5.00,-4.25,101.0,105.2,-1.30,Pat,2012
Rhode Island,102.7,107.8,66.5,-.047,-5.13,3.63,104.5,100.9,0.01,A10,2012
Seattle,98.7,104.0,74.4,-.071,-5.25,-4.76,102.3,107.1,-2.17,ind,2012
Northwestern LA,97.3,102.7,69.3,.005,-5.39,-3.69,100.6,104.3,2.78,Slnd,2012
Florida Intl,99.4,104.9,63.7,-.068,-5.45,-0.40,102.3,102.7,3.01,SB,2012
SE Missouri St,105.5,110.9,64.6,-.036,-5.46,-5.86,100.3,106.2,-4.06,OVC,2012
Arizona St,100.6,106.1,62.5,.006,-5.55,2.84,103.7,100.8,-3.67,P12,2012
Siena,97.3,103.0,64.5,.043,-5.62,-2.61,101.6,104.2,-1.51,MAAC,2012
Sacred Heart,102.6,108.6,66.0,-.027,-5.99,-5.27,100.0,105.3,-3.97,NEC,2012
Campbell,103.7,109.7,67.1,.050,-6.00,-5.07,101.4,106.4,-1.74,BSth,2012
High Point,105.5,111.6,63.7,-.066,-6.17,-4.84,101.1,105.9,-0.57,BSth,2012
Texas Tech,95.1,101.3,64.1,-.014,-6.18,6.80,106.8,100.0,-6.94,B12,2012
Southern Utah,98.3,104.6,62.8,.015,-6.27,-2.77,104.7,107.5,-6.72,Sum,2012
MS Valley St,98.0,104.2,68.9,.125,-6.30,-8.67,96.5,105.2,14.37,SWAC,2012
UNC Wilmington,100.3,106.7,65.8,.010,-6.33,1.16,103.4,102.3,2.31,CAA,2012
Lafayette,106.2,112.5,65.4,.012,-6.34,-2.79,101.4,104.2,-0.93,Pat,2012
Delaware St,101.3,107.8,60.3,.012,-6.55,-6.91,98.3,105.2,4.10,MEAC,2012
W Carolina,100.7,107.3,65.8,.043,-6.56,-4.03,101.8,105.8,4.22,SC,2012
Jacksonville,99.5,106.1,65.4,-.019,-6.68,2.30,104.6,102.3,7.15,ASun,2012
Utah Valley,99.5,106.2,64.6,.044,-6.71,-7.93,98.4,106.3,-3.11,GWC,2012
CS Bakersfield,101.9,108.6,65.0,.054,-6.72,-4.92,101.7,106.6,-4.17,ind,2012
Niagara,103.1,109.9,67.3,.041,-6.79,-2.21,101.8,104.0,1.13,MAAC,2012
Ga Southern,97.8,104.6,65.2,.070,-6.82,-3.73,101.0,104.7,4.47,SC,2012
Furman,98.1,105.0,63.9,.014,-6.85,-4.06,101.3,105.3,-0.06,SC,2012
James Madison,101.0,108.0,65.5,.011,-7.01,-1.82,101.1,102.9,-2.71,CAA,2012
UC Irvine,97.1,104.3,69.1,.001,-7.20,-1.26,103.3,104.5,1.88,BW,2012
Stetson,100.7,108.2,70.4,-.010,-7.50,0.75,104.3,103.5,4.19,ASun,2012
Presbyterian,102.8,110.4,59.4,.023,-7.61,-6.08,100.9,107.0,-2.31,BSth,2012
Morgan St,99.3,107.2,65.8,-.106,-7.93,-5.67,99.0,104.6,4.40,MEAC,2012
C Michigan,98.5,106.5,63.9,-.005,-7.99,-0.67,101.5,102.2,1.09,MAC,2012
Marist,98.7,106.8,67.5,.049,-8.05,-3.85,100.6,104.4,-4.50,MAAC,2012
Elon,97.9,106.1,68.3,.072,-8.22,-4.00,101.1,105.1,5.98,SC,2012
Bethune-Cookman,101.4,109.7,62.4,.055,-8.23,-7.14,98.2,105.4,2.37,MEAC,2012
N Colorado,104.8,113.1,65.8,-.055,-8.31,-3.05,102.4,105.5,5.59,BSky,2012
Appalachian St,99.6,108.0,65.5,.005,-8.40,-4.14,101.0,105.2,4.97,SC,2012
North Dakota,95.9,104.3,66.6,.026,-8.45,-7.34,98.9,106.3,-0.56,GWC,2012
Bradley,94.9,103.4,67.4,-.012,-8.46,3.88,105.3,101.5,-1.34,MVC,2012
Boston College,95.7,104.3,63.8,.048,-8.67,3.88,104.5,100.6,-3.18,ACC,2012
Winthrop,94.6,103.4,61.8,-.023,-8.73,-3.28,102.7,105.9,6.87,BSth,2012
E Michigan,90.5,99.4,59.2,.096,-8.83,-0.97,102.4,103.4,2.54,MAC,2012
Chattanooga,97.7,106.7,67.3,-.115,-8.93,-5.06,100.9,105.9,0.78,SC,2012
E Kentucky,100.7,109.7,61.4,.054,-8.94,-5.51,101.1,106.6,-4.33,OVC,2012
Texas St,100.5,109.4,71.9,-.058,-8.95,-5.19,99.3,104.5,-3.05,Slnd,2012
TX Southern,92.6,101.6,65.3,-.015,-8.99,-9.31,96.2,105.5,12.76,SWAC,2012
Troy,105.1,114.2,67.1,.018,-9.08,-0.80,101.8,102.6,1.38,SB,2012
Gardner Webb,95.3,104.6,63.9,-.031,-9.20,-4.46,102.0,106.4,-0.43,BSth,2012
Fordham,94.8,104.0,66.4,.072,-9.21,2.62,104.5,101.9,-4.39,A10,2012
Maine,96.9,106.2,66.9,-.042,-9.32,-6.96,99.2,106.2,-3.94,AE,2012
IPFW,98.3,107.8,68.4,.022,-9.52,-2.84,104.1,107.0,-6.51,Sum,2012
Coppin St,106.6,116.1,68.3,-.004,-9.52,-6.72,98.2,104.9,5.68,MEAC,2012
VMI,102.1,111.7,72.7,.073,-9.53,-6.42,100.5,106.9,-4.75,BSth,2012
San Jose St,100.2,109.8,63.9,-.045,-9.60,-1.48,103.5,105.0,-4.91,WAC,2012
Santa Clara,103.6,113.5,65.2,-.075,-9.91,0.28,103.5,103.3,-2.25,WCC,2012
UC Riverside,90.5,100.5,62.6,.120,-10.00,-2.14,102.8,104.9,0.50,BW,2012
Pacific,97.8,107.8,61.5,-.027,-10.07,-3.07,102.9,105.9,-2.20,BW,2012
Portland,99.3,109.5,66.4,.017,-10.21,4.57,106.2,101.6,8.70,WCC,2012
UNC Greensboro,97.5,107.7,71.2,.093,-10.28,-2.32,101.9,104.2,11.15,SC,2012
Pepperdine,94.6,105.0,60.8,.016,-10.41,-0.67,104.0,104.6,-5.03,WCC,2012
IL Chicago,97.9,108.3,64.3,.008,-10.42,0.15,102.1,101.9,-1.68,Horz,2012
South Dakota,99.0,109.5,68.0,-.016,-10.47,-3.31,103.4,106.7,-7.48,Sum,2012
Missouri KC,99.8,110.3,62.7,-.021,-10.48,-2.60,103.5,106.1,-4.18,Sum,2012
Samford,102.1,112.6,61.6,.023,-10.53,-3.84,100.9,104.8,2.98,SC,2012
Hampton,92.1,102.6,67.1,-.051,-10.53,-8.07,99.3,107.4,-4.16,MEAC,2012
Sam Houston St,89.8,100.4,62.5,-.012,-10.62,-2.61,101.0,103.6,3.89,Slnd,2012
Loyola-Chicago,95.3,106.1,59.5,-.055,-10.75,-0.46,101.9,102.3,-3.72,Horz,2012
Liberty,100.5,111.3,64.3,.051,-10.80,-5.54,101.0,106.5,-3.86,BSth,2012
Monmouth NJ,97.0,108.3,68.0,.061,-11.29,-2.57,101.8,104.3,3.05,NEC,2012
Montana St,97.3,109.1,66.2,.028,-11.84,-5.39,101.7,107.1,-3.02,BSky,2012
CS Sacramento,98.2,110.2,64.9,-.087,-12.03,-7.23,101.0,108.3,-7.04,BSky,2012
New Hampshire,90.7,102.8,64.5,.017,-12.10,-9.01,98.2,107.2,-8.89,AE,2012
Mt St Mary's,93.4,105.6,62.6,-.051,-12.21,-4.56,100.2,104.8,0.43,NEC,2012
William & Mary,98.1,110.6,62.3,-.065,-12.55,0.17,102.9,102.8,-0.58,CAA,2012
Dartmouth,91.2,104.1,62.6,-.077,-12.92,-3.27,101.4,104.7,-6.23,Ivy,2012
Army,93.7,106.7,68.2,-.005,-12.92,-8.01,99.2,107.2,-11.94,Pat,2012
E Illinois,97.6,110.6,63.1,.018,-13.07,-6.67,99.7,106.3,-7.17,OVC,2012
NJIT,96.6,109.7,64.1,-.025,-13.11,-9.71,97.9,107.6,-4.54,GWC,2012
NC A&T,94.0,107.2,68.1,-.024,-13.18,-5.08,100.7,105.8,6.39,MEAC,2012
SE Louisiana,86.5,99.9,63.0,.011,-13.46,-6.69,99.3,106.0,-4.72,Slnd,2012
Utah,93.3,107.0,60.8,-.010,-13.69,5.41,106.1,100.7,-0.12,P12,2012
CS Northridge,98.2,112.0,67.9,-.049,-13.77,-2.32,102.2,104.5,-0.25,BW,2012
Idaho St,97.1,111.0,64.9,.027,-13.93,-3.06,101.9,104.9,2.01,BSky,2012
Hartford,91.3,106.0,64.2,-.019,-14.72,-6.20,99.1,105.3,-3.04,AE,2012
TAM C. Christi,89.9,104.8,64.8,.026,-14.94,-2.65,100.7,103.4,1.26,Slnd,2012
Edwardsville,95.4,110.5,67.7,.060,-15.10,-5.63,100.3,105.9,-5.33,OVC,2012
Howard,91.0,106.1,65.4,.040,-15.16,-3.99,100.5,104.5,9.40,MEAC,2012
St Francis PA,95.3,110.5,63.0,-.049,-15.24,-3.55,101.9,105.4,4.36,NEC,2012
Brown,95.2,110.9,64.1,-.006,-15.73,-3.63,100.8,104.4,-7.11,Ivy,2012
ULM,96.9,112.9,63.5,-.088,-15.97,-0.29,102.0,102.2,1.22,SB,2012
UTRGV,92.9,109.1,63.7,.017,-16.22,-4.55,100.6,105.2,1.78,GWC,2012
Radford,90.1,106.8,64.1,-.064,-16.70,-4.34,101.9,106.3,-0.01,BSth,2012
Southern Univ,90.0,106.7,63.4,.113,-16.73,-11.85,94.0,105.8,1.64,SWAC,2012
Alabama St,87.8,104.7,63.5,.026,-16.87,-9.96,95.4,105.4,9.52,SWAC,2012
St Peter's,89.6,106.7,63.3,-.044,-17.05,-1.40,102.5,103.9,1.64,MAAC,2012
Florida A&M,93.4,110.6,67.8,.039,-17.29,-6.08,98.9,104.9,1.42,MEAC,2012
Kennesaw,97.4,114.8,62.0,-.098,-17.40,1.54,104.2,102.6,4.75,ASun,2012
Houston Bap,93.2,110.7,70.2,.015,-17.48,-7.25,100.1,107.3,-2.02,GWC,2012
Cent Arkansas,93.1,111.0,71.7,.003,-17.91,-4.36,100.2,104.6,0.77,Slnd,2012
Ark Pine Bluff,93.5,111.5,65.2,.062,-17.97,-8.05,96.2,104.2,8.51,SWAC,2012
Prairie View,85.5,103.5,70.0,.045,-18.01,-11.52,95.2,106.7,7.38,SWAC,2012
Citadel,92.6,110.6,63.4,-.042,-18.01,-4.34,101.4,105.7,-1.64,SC,2012
Colgate,97.7,115.9,64.8,.064,-18.21,-4.45,100.1,104.5,-5.74,Pat,2012
Nicholls St,100.8,119.2,64.8,.048,-18.45,-3.73,99.7,103.4,0.86,Slnd,2012
Canisius,94.9,113.5,65.3,.003,-18.63,-4.34,101.2,105.6,-7.70,MAAC,2012
MD E Shore,87.1,105.9,66.9,.004,-18.74,-4.06,100.1,104.1,4.31,MEAC,2012
UC Davis,94.6,113.4,64.8,-.039,-18.82,-2.40,102.2,104.7,-2.73,BW,2012
Navy,91.4,110.6,59.5,-.055,-19.15,-4.03,101.8,105.8,-4.85,Pat,2012
N Illinois,90.3,109.9,62.1,-.022,-19.58,-2.39,101.9,104.3,-4.21,MAC,2012
Alcorn St,88.4,108.6,67.4,-.046,-20.18,-11.22,94.2,105.4,7.42,SWAC,2012
Jackson St,88.5,108.9,60.7,-.027,-20.45,-7.13,97.0,104.2,15.79,SWAC,2012
NE Omaha,97.1,117.6,70.4,-.054,-20.56,-1.49,102.5,104.0,-0.42,ind,2012
Chicago St,88.7,109.6,69.2,-.048,-20.89,-3.11,101.7,104.8,3.58,GWC,2012
F Dickinson,87.8,109.0,66.5,.034,-21.19,-3.99,101.5,105.5,-0.61,NEC,2012
TN Martin,94.1,115.3,65.1,-.012,-21.20,-1.78,101.8,103.6,1.32,OVC,2012
Alabama A&M,90.0,111.4,66.8,-.063,-21.42,-11.19,93.6,104.8,9.08,SWAC,2012
Bryant,94.0,116.4,64.6,-.037,-22.37,-3.04,100.9,104.0,0.40,NEC,2012
Towson,87.3,109.9,61.5,-.036,-22.63,2.73,103.9,101.1,4.62,CAA,2012
Northern Arizona,89.8,112.6,64.6,-.002,-22.81,-4.42,101.7,106.1,-1.63,BSky,2012
Longwood,99.7,122.6,69.1,.010,-22.94,-6.78,98.6,105.4,-6.87,ind,2012
